Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
IMAP,DS-R1,9,5,4,0.444,0.8,0.571
IMAP,Gpt4o-Mini,21,5,4,0.19,0.8,0.307
IMAP,Claude3,11,5,4,0.364,0.8,0.5
IMAP,Gemini2,12,5,4,0.333,0.8,0.47
IMAP,DS-V3,4,5,4,1.0,0.8,0.889
IMAP,QWQ,4,5,4,1.0,0.8,0.889
IMAP,QWen3,4,5,3,0.75,0.6,0.667
IMAP,Gemma3,10,5,4,0.4,0.8,0.533
IMAP,Mistral,10,5,4,0.4,0.8,0.533
POP3,DS-R1,4,3,3,0.75,1.0,0.857
POP3,Gpt4o-Mini,14,3,3,0.214,1.0,0.353
POP3,Claude3,5,3,3,0.6,1.0,0.75
POP3,Gemini2,4,3,3,0.75,1.0,0.857
POP3,DS-V3,5,3,3,0.6,1.0,0.75
POP3,QWQ,4,3,1,0.25,0.333,0.286
POP3,QWen3,4,3,3,0.75,1.0,0.857
POP3,Gemma3,17,3,3,0.176,1.0,0.299
POP3,Mistral,12,3,3,0.25,1.0,0.4
MQTT,DS-R1,7,12,8,1.143,0.667,0.842
MQTT,Gpt4o-Mini,24,12,11,0.458,0.917,0.611
MQTT,Claude3,11,12,5,0.455,0.417,0.435
MQTT,Gemini2,26,12,10,0.385,0.833,0.527
MQTT,DS-V3,4,12,5,1.25,0.417,0.625
MQTT,QWQ,14,12,8,0.571,0.667,0.615
MQTT,QWen3,7,12,5,0.714,0.417,0.527
MQTT,Gemma3,11,12,5,0.455,0.417,0.435
MQTT,Mistral,20,12,11,0.55,0.917,0.688
PPP,DS-R1,15,10,10,0.667,1.0,0.8
PPP,Gpt4o-Mini,19,10,10,0.526,1.0,0.689
PPP,Claude3,15,10,10,0.667,1.0,0.8
PPP,Gemini2,13,10,10,0.769,1.0,0.869
PPP,DS-V3,15,10,10,0.667,1.0,0.8
PPP,QWQ,5,10,3,0.6,0.3,0.4
PPP,QWen3,11,10,6,0.545,0.6,0.571
PPP,Gemma3,6,10,2,0.333,0.2,0.25
PPP,Mistral,9,10,2,0.222,0.2,0.21
PPTP,DS-R1,8,9,8,1.0,0.889,0.941
PPTP,Gpt4o-Mini,20,9,6,0.3,0.667,0.414
PPTP,Claude3,15,9,5,0.333,0.556,0.417
PPTP,Gemini2,11,9,0,0.0,0.0,0.0
PPTP,DS-V3,12,9,8,0.667,0.889,0.762
PPTP,QWQ,3,9,5,1.667,0.556,0.834
PPTP,QWen3,4,9,8,2.0,0.889,1.231
PPTP,Gemma3,4,9,6,1.5,0.667,0.923
PPTP,Mistral,6,9,6,1.0,0.667,0.8
BGP,DS-R1,6,6,6,1.0,1.0,1.0
BGP,Gpt4o-Mini,13,6,6,0.462,1.0,0.632
BGP,Claude3,8,6,6,0.75,1.0,0.857
BGP,Gemini2,9,6,6,0.667,1.0,0.8
BGP,DS-V3,6,6,6,1.0,1.0,1.0
BGP,QWQ,6,6,6,1.0,1.0,1.0
BGP,QWen3,6,6,6,1.0,1.0,1.0
BGP,Gemma3,7,6,6,0.857,1.0,0.923
BGP,Mistral,10,6,3,0.3,0.5,0.375
SIP,DS-R1,25,5,5,0.2,1.0,0.333
SIP,Gpt4o-Mini,88,5,3,0.034,0.6,0.064
SIP,Claude3,43,5,5,0.116,1.0,0.208
SIP,Gemini2,65,5,5,0.077,1.0,0.143
SIP,DS-V3,12,5,5,0.417,1.0,0.589
SIP,QWQ,7,5,0,0.0,0.0,0.0
SIP,QWen3,11,5,2,0.182,0.4,0.25
SIP,Gemma3,27,5,2,0.074,0.4,0.125
SIP,Mistral,32,5,1,0.031,0.2,0.054
RTSP,DS-R1,5,3,3,0.6,1.0,0.75
RTSP,Gpt4o-Mini,47,3,3,0.064,1.0,0.12
RTSP,Claude3,20,3,2,0.1,0.667,0.174
RTSP,Gemini2,17,3,2,0.118,0.667,0.201
RTSP,DS-V3,3,3,3,1.0,1.0,1.0
RTSP,QWQ,3,3,0,0.0,0.0,0.0
RTSP,QWen3,3,3,3,1.0,1.0,1.0
RTSP,Gemma3,14,3,3,0.214,1.0,0.353
RTSP,Mistral,22,3,1,0.045,0.333,0.079
DCCP,DS-R1,12,9,9,0.75,1.0,0.857
DCCP,Gpt4o-Mini,41,9,9,0.22,1.0,0.361
DCCP,Claude3,12,9,9,0.75,1.0,0.857
DCCP,Gemini2,20,9,9,0.45,1.0,0.621
DCCP,DS-V3,12,9,9,0.75,1.0,0.857
DCCP,QWQ,4,9,6,1.5,0.667,0.923
DCCP,QWen3,11,9,8,0.727,0.889,0.8
DCCP,Gemma3,10,9,7,0.7,0.778,0.737
DCCP,Mistral,10,9,2,0.2,0.222,0.21
DHCP,DS-R1,8,8,8,1.0,1.0,1.0
DHCP,Gpt4o-Mini,11,8,8,0.727,1.0,0.842
DHCP,Claude3,8,8,8,1.0,1.0,1.0
DHCP,Gemini2,6,8,4,0.667,0.5,0.572
DHCP,DS-V3,7,8,8,1.143,1.0,1.067
DHCP,QWQ,4,8,5,1.25,0.625,0.833
DHCP,QWen3,4,8,5,1.25,0.625,0.833
DHCP,Gemma3,4,8,5,1.25,0.625,0.833
DHCP,Mistral,3,8,4,1.333,0.5,0.727
FTP,DS-R1,14,10,5,0.357,0.5,0.417
FTP,Gpt4o-Mini,41,10,6,0.146,0.6,0.235
FTP,Claude3,14,10,2,0.143,0.2,0.167
FTP,Gemini2,15,10,6,0.4,0.6,0.48
FTP,DS-V3,23,10,8,0.348,0.8,0.485
FTP,QWQ,6,10,5,0.833,0.5,0.625
FTP,QWen3,11,10,2,0.182,0.2,0.191
FTP,Gemma3,15,10,5,0.333,0.5,0.4
FTP,Mistral,20,10,4,0.2,0.4,0.267
NNTP,DS-R1,12,10,3,0.25,0.3,0.273
NNTP,Gpt4o-Mini,40,10,10,0.25,1.0,0.4
NNTP,Claude3,13,10,6,0.462,0.6,0.522
NNTP,Gemini2,29,10,7,0.241,0.7,0.359
NNTP,DS-V3,17,10,7,0.412,0.7,0.519
NNTP,QWQ,3,10,0,0.0,0.0,0.0
