Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
IMAP,deepseek-reasoner,35,11,6,5,29,0.171,0.545,0.261
IMAP,gpt-4o-mini,56,11,5,6,51,0.089,0.455,0.149
IMAP,claude-3-7-sonnet-20250219,48,11,7,4,41,0.146,0.636,0.237
IMAP,gemini-2.0-flash,90,11,7,4,83,0.078,0.636,0.139
IMAP,deepseek-chat,16,11,6,5,10,0.375,0.545,0.444
IMAP,qwq,4,11,3,8,1,0.75,0.273,0.4
IMAP,mistral-small3.1,20,11,6,5,14,0.3,0.545,0.387
POP3,deepseek-reasoner,21,18,12,6,9,0.571,0.667,0.615
POP3,gpt-4o-mini,33,18,12,6,21,0.364,0.667,0.471
POP3,claude-3-7-sonnet-20250219,26,18,9,9,17,0.346,0.5,0.409
POP3,gemini-2.0-flash,39,18,13,5,26,0.333,0.722,0.456
POP3,deepseek-chat,20,18,10,8,10,0.5,0.556,0.526
POP3,qwq,5,18,1,17,4,0.2,0.056,0.087
POP3,mistral-small3.1,29,18,9,9,20,0.31,0.5,0.383
MQTT,deepseek-reasoner,16,17,2,15,14,0.125,0.118,0.121
MQTT,gpt-4o-mini,37,17,3,14,34,0.081,0.176,0.111
MQTT,claude-3-7-sonnet-20250219,45,17,2,15,43,0.044,0.118,0.065
MQTT,gemini-2.0-flash,48,17,2,15,46,0.042,0.118,0.062
MQTT,deepseek-chat,6,17,0,17,6,0.0,0.0,0.0
MQTT,qwq,18,17,1,16,17,0.056,0.059,0.057
MQTT,mistral-small3.1,37,17,3,14,34,0.081,0.176,0.111
PPP,deepseek-reasoner,111,27,10,17,101,0.09,0.37,0.145
PPP,gpt-4o-mini,33,27,5,22,28,0.152,0.185,0.167
PPP,claude-3-7-sonnet-20250219,138,27,18,9,120,0.13,0.667,0.218
PPP,gemini-2.0-flash,126,27,20,7,106,0.159,0.741,0.261
PPP,deepseek-chat,21,27,3,24,18,0.143,0.111,0.125
PPP,qwq,5,27,0,27,5,0.0,0.0,0.0
PPP,mistral-small3.1,12,27,0,27,12,0.0,0.0,0.0
PPTP,deepseek-reasoner,18,19,12,7,6,0.667,0.632,0.649
PPTP,gpt-4o-mini,29,19,1,18,28,0.034,0.053,0.042
PPTP,claude-3-7-sonnet-20250219,56,19,4,15,52,0.071,0.211,0.107
PPTP,gemini-2.0-flash,23,19,0,19,23,0.0,0.0,0.0
PPTP,deepseek-chat,34,19,11,8,23,0.324,0.579,0.415
PPTP,qwq,2,19,0,19,2,0.0,0.0,0.0
PPTP,mistral-small3.1,12,19,1,18,11,0.083,0.053,0.065
BGP,deepseek-reasoner,20,26,14,12,6,0.7,0.538,0.609
BGP,gpt-4o-mini,25,26,7,19,18,0.28,0.269,0.275
BGP,claude-3-7-sonnet-20250219,60,26,23,3,37,0.383,0.885,0.535
BGP,gemini-2.0-flash,101,26,26,0,75,0.257,1.0,0.409
BGP,deepseek-chat,32,26,15,11,17,0.469,0.577,0.517
BGP,qwq,7,26,3,23,4,0.429,0.115,0.182
BGP,mistral-small3.1,9,26,0,26,9,0.0,0.0,0.0
SIP,deepseek-reasoner,58,20,12,8,46,0.207,0.6,0.308
SIP,gpt-4o-mini,127,20,10,10,117,0.079,0.5,0.136
SIP,claude-3-7-sonnet-20250219,164,20,2,18,162,0.012,0.1,0.022
SIP,gemini-2.0-flash,180,20,20,0,160,0.111,1.0,0.2
SIP,deepseek-chat,43,20,14,6,29,0.326,0.7,0.444
SIP,qwq,5,20,0,20,5,0.0,0.0,0.0
SIP,mistral-small3.1,30,20,0,20,30,0.0,0.0,0.0
RTSP,deepseek-reasoner,41,33,19,14,22,0.463,0.576,0.514
RTSP,gpt-4o-mini,70,33,0,33,70,0.0,0.0,0.0
RTSP,claude-3-7-sonnet-20250219,89,33,19,14,70,0.213,0.576,0.311
RTSP,gemini-2.0-flash,78,33,12,21,66,0.154,0.364,0.216
RTSP,deepseek-chat,39,33,30,3,9,0.769,0.909,0.833
RTSP,qwq,2,33,0,33,2,0.0,0.0,0.0
RTSP,mistral-small3.1,33,33,0,33,33,0.0,0.0,0.0
DCCP,deepseek-reasoner,29,25,18,7,11,0.621,0.72,0.667
DCCP,gpt-4o-mini,55,25,8,17,47,0.145,0.32,0.2
DCCP,claude-3-7-sonnet-20250219,40,25,19,6,21,0.475,0.76,0.585
DCCP,gemini-2.0-flash,44,25,16,9,28,0.364,0.64,0.464
DCCP,deepseek-chat,28,25,14,11,14,0.5,0.56,0.528
DCCP,qwq,4,25,1,24,3,0.25,0.04,0.069
DCCP,mistral-small3.1,9,25,0,25,9,0.0,0.0,0.0
DHCP,deepseek-reasoner,20,19,12,7,8,0.6,0.632,0.615
DHCP,gpt-4o-mini,26,19,9,10,17,0.346,0.474,0.4
DHCP,claude-3-7-sonnet-20250219,18,19,14,5,4,0.778,0.737,0.757
DHCP,gemini-2.0-flash,27,19,7,12,20,0.259,0.368,0.304
DHCP,deepseek-chat,15,19,10,9,5,0.667,0.526,0.588
DHCP,qwq,6,19,4,15,2,0.667,0.211,0.32
DHCP,mistral-small3.1,5,19,2,17,3,0.4,0.105,0.167
FTP,deepseek-reasoner,23,24,5,19,18,0.217,0.208,0.213
FTP,gpt-4o-mini,53,24,4,20,49,0.075,0.167,0.104
FTP,claude-3-7-sonnet-20250219,46,24,4,20,42,0.087,0.167,0.114
FTP,gemini-2.0-flash,51,24,6,18,45,0.118,0.25,0.16
FTP,deepseek-chat,77,24,7,17,70,0.091,0.292,0.139
FTP,qwq,7,24,3,21,4,0.429,0.125,0.194
FTP,mistral-small3.1,33,24,3,21,30,0.091,0.125,0.105
NNTP,deepseek-reasoner,73,16,2,14,71,0.027,0.125,0.045
NNTP,gpt-4o-mini,68,16,0,16,68,0.0,0.0,0.0
NNTP,claude-3-7-sonnet-20250219,75,16,0,16,75,0.0,0.0,0.0
NNTP,gemini-2.0-flash,116,16,2,14,114,0.017,0.125,0.03
NNTP,deepseek-chat,25,16,2,14,23,0.08,0.125,0.098
NNTP,qwq,3,16,0,16,3,0.0,0.0,0.0
NNTP,mistral-small3.1,4,16,0,16,4,0.0,0.0,0.0
SMTP,deepseek-reasoner,45,22,0,22,45,0.0,0.0,0.0
SMTP,gpt-4o-mini,52,22,0,22,52,0.0,0.0,0.0
SMTP,claude-3-7-sonnet-20250219,40,22,0,22,40,0.0,0.0,0.0
SMTP,gemini-2.0-flash,32,22,2,20,30,0.062,0.091,0.074
SMTP,deepseek-chat,18,22,1,21,17,0.056,0.045,0.05
SMTP,qwq,11,22,0,22,11,0.0,0.0,0.0
SMTP,mistral-small3.1,35,22,0,22,35,0.0,0.0,0.0
TCP,deepseek-reasoner,15,20,11,9,4,0.733,0.55,0.629
TCP,gpt-4o-mini,10,20,4,16,6,0.4,0.2,0.267
TCP,claude-3-7-sonnet-20250219,20,20,13,7,7,0.65,0.65,0.65
TCP,gemini-2.0-flash,45,20,5,15,40,0.111,0.25,0.154
TCP,deepseek-chat,12,20,7,13,5,0.583,0.35,0.438
TCP,qwq,9,20,5,15,4,0.556,0.25,0.345
TCP,mistral-small3.1,11,20,2,18,9,0.182,0.1,0.129
