Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
IMAP,deepseek-reasoner,35,11,4,7,31,0.114,0.364,0.174
IMAP,gpt-4o-mini,56,11,3,8,53,0.054,0.273,0.09
IMAP,claude-3-7-sonnet-20250219,48,11,4,7,44,0.083,0.364,0.136
IMAP,gemini-2.0-flash,90,11,6,5,84,0.067,0.545,0.119
IMAP,deepseek-chat,16,11,6,5,10,0.375,0.545,0.444
IMAP,qwq,4,11,3,8,1,0.75,0.273,0.4
IMAP,mistral-small3.1,20,11,5,6,15,0.25,0.455,0.323
POP3,deepseek-reasoner,21,18,8,10,13,0.381,0.444,0.41
POP3,gpt-4o-mini,33,18,10,8,23,0.303,0.556,0.392
POP3,claude-3-7-sonnet-20250219,26,18,8,10,18,0.308,0.444,0.364
POP3,gemini-2.0-flash,39,18,9,9,30,0.231,0.5,0.316
POP3,deepseek-chat,20,18,9,9,11,0.45,0.5,0.474
POP3,qwq,5,18,1,17,4,0.2,0.056,0.087
POP3,mistral-small3.1,29,18,9,9,20,0.31,0.5,0.383
MQTT,deepseek-reasoner,16,17,1,16,15,0.062,0.059,0.061
MQTT,gpt-4o-mini,37,17,2,15,35,0.054,0.118,0.074
MQTT,claude-3-7-sonnet-20250219,45,17,2,15,43,0.044,0.118,0.065
MQTT,gemini-2.0-flash,48,17,2,15,46,0.042,0.118,0.062
MQTT,deepseek-chat,6,17,1,16,5,0.167,0.059,0.087
MQTT,qwq,18,17,1,16,17,0.056,0.059,0.057
MQTT,mistral-small3.1,37,17,2,15,35,0.054,0.118,0.074
PPP,deepseek-reasoner,111,27,10,17,101,0.09,0.37,0.145
PPP,gpt-4o-mini,33,27,4,23,29,0.121,0.148,0.133
PPP,claude-3-7-sonnet-20250219,138,27,9,18,129,0.065,0.333,0.109
PPP,gemini-2.0-flash,126,27,19,8,107,0.151,0.704,0.248
PPP,deepseek-chat,21,27,3,24,18,0.143,0.111,0.125
PPP,qwq,5,27,0,27,5,0.0,0.0,0.0
PPP,mistral-small3.1,12,27,0,27,12,0.0,0.0,0.0
PPTP,deepseek-reasoner,18,19,12,7,6,0.667,0.632,0.649
PPTP,gpt-4o-mini,29,19,2,17,27,0.069,0.105,0.083
PPTP,claude-3-7-sonnet-20250219,56,19,3,16,53,0.054,0.158,0.08
