Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,29,26,12,14,17,0.414,0.462,0.436
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,65,26,22,4,43,0.338,0.846,0.484
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,71,26,24,2,47,0.338,0.923,0.495
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,61,26,24,2,37,0.393,0.923,0.552
BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,58,26,22,4,36,0.379,0.846,0.524
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,73,26,18,8,55,0.247,0.692,0.364
BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,81,26,19,7,62,0.235,0.731,0.355
BGP,qwq_32b_qwq_reasoning_ollama_json_schema_output,73,26,26,0,47,0.356,1.0,0.525
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,23,25,11,14,12,0.478,0.44,0.458
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,80,25,15,10,65,0.188,0.6,0.286
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,74,25,16,9,58,0.216,0.64,0.323
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,56,25,19,6,37,0.339,0.76,0.469
DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,82,25,19,6,63,0.232,0.76,0.355
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,53,25,19,6,34,0.358,0.76,0.487
DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,42,25,16,9,26,0.381,0.64,0.478
DCCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,38,25,10,15,28,0.263,0.4,0.317
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,19,19,7,12,12,0.368,0.368,0.368
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,37,19,10,9,27,0.27,0.526,0.357
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,20,19,11,8,9,0.55,0.579,0.564
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,19,19,11,8,8,0.579,0.579,0.579
DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,3,19,1,18,2,0.333,0.053,0.091
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,24,19,6,13,18,0.25,0.316,0.279
DHCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,19,0,19,0,0.0,0.0,0.0
DHCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,11,19,8,11,3,0.727,0.421,0.533
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,126,24,1,23,125,0.008,0.042,0.013
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,41,24,0,24,41,0.0,0.0,0.0
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,38,24,0,24,38,0.0,0.0,0.0
FTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,23,24,0,24,23,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,5,24,0,24,5,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
FTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
IMAP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,17,11,3,8,14,0.176,0.273,0.214
IMAP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,68,11,4,7,64,0.059,0.364,0.101
IMAP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,50,11,6,5,44,0.12,0.545,0.197
IMAP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,22,11,7,4,15,0.318,0.636,0.424
IMAP,qwen3.5_27b_qwen_think_ollama_json_schema_output,9,11,6,5,3,0.667,0.545,0.6
IMAP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,29,11,5,6,24,0.172,0.455,0.25
IMAP,qwen3.5_9b_qwen_think_ollama_json_schema_output,16,11,6,5,10,0.375,0.545,0.444
IMAP,qwq_32b_qwq_reasoning_ollama_json_schema_output,43,11,7,4,36,0.163,0.636,0.259
MQTT,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,5,17,1,16,4,0.2,0.059,0.091
MQTT,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,22,17,4,13,18,0.182,0.235,0.205
MQTT,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,35,17,4,13,31,0.114,0.235,0.154
MQTT,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,7,17,1,16,6,0.143,0.059,0.083
MQTT,qwen3.5_27b_qwen_think_ollama_json_schema_output,10,17,1,16,9,0.1,0.059,0.074
MQTT,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,6,17,0,17,6,0.0,0.0,0.0
MQTT,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,17,0,17,0,0.0,0.0,0.0
MQTT,qwq_32b_qwq_reasoning_ollama_json_schema_output,0,17,0,17,0,0.0,0.0,0.0
NNTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,18,16,2,14,16,0.111,0.125,0.118
