Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,29,26,14,12,15,0.483,0.538,0.509
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,65,26,24,2,41,0.369,0.923,0.527
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,71,26,23,3,48,0.324,0.885,0.474
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,61,26,23,3,38,0.377,0.885,0.529
BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,58,26,23,3,35,0.397,0.885,0.548
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,73,26,20,6,53,0.274,0.769,0.404
BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,81,26,20,6,61,0.247,0.769,0.374
BGP,qwq_32b_qwq_reasoning_ollama_json_schema_output,73,26,24,2,49,0.329,0.923,0.485
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,23,25,6,19,17,0.261,0.24,0.25
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,80,25,12,13,68,0.15,0.48,0.229
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,74,25,13,12,61,0.176,0.52,0.263
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,56,25,15,10,41,0.268,0.6,0.37
DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,82,25,16,9,66,0.195,0.64,0.299
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,53,25,11,14,42,0.208,0.44,0.282
DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,42,25,10,15,32,0.238,0.4,0.299
DCCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,38,25,7,18,31,0.184,0.28,0.222
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,19,19,6,13,13,0.316,0.316,0.316
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,37,19,11,8,26,0.297,0.579,0.393
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,20,19,10,9,10,0.5,0.526,0.513
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,19,19,12,7,7,0.632,0.632,0.632
DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,3,19,1,18,2,0.333,0.053,0.091
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,24,19,7,12,17,0.292,0.368,0.326
DHCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,19,0,19,0,0.0,0.0,0.0
DHCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,11,19,7,12,4,0.636,0.368,0.467
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,126,24,1,23,125,0.008,0.042,0.013
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,41,24,0,24,41,0.0,0.0,0.0
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,38,24,0,24,38,0.0,0.0,0.0
FTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,23,24,0,24,23,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,5,24,0,24,5,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
FTP,qwq_32b_qwq_reasoning_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
IMAP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,17,11,3,8,14,0.176,0.273,0.214
IMAP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,68,11,2,9,66,0.029,0.182,0.051
IMAP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,50,11,6,5,44,0.12,0.545,0.197
IMAP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,22,11,8,3,14,0.364,0.727,0.485
IMAP,qwen3.5_27b_qwen_think_ollama_json_schema_output,9,11,6,5,3,0.667,0.545,0.6
IMAP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,29,11,5,6,24,0.172,0.455,0.25
IMAP,qwen3.5_9b_qwen_think_ollama_json_schema_output,16,11,6,5,10,0.375,0.545,0.444
IMAP,qwq_32b_qwq_reasoning_ollama_json_schema_output,43,11,7,4,36,0.163,0.636,0.259
MQTT,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,5,17,1,16,4,0.2,0.059,0.091
MQTT,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,22,17,3,14,19,0.136,0.176,0.154
MQTT,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,35,17,1,16,34,0.029,0.059,0.038
MQTT,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,7,17,1,16,6,0.143,0.059,0.083
MQTT,qwen3.5_27b_qwen_think_ollama_json_schema_output,10,17,2,15,8,0.2,0.118,0.148
MQTT,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,6,17,0,17,6,0.0,0.0,0.0
MQTT,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,17,0,17,0,0.0,0.0,0.0
MQTT,qwq_32b_qwq_reasoning_ollama_json_schema_output,0,17,0,17,0,0.0,0.0,0.0
NNTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,18,16,1,15,17,0.056,0.062,0.059
