Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
BGP,gemma3_12b,6,6,6,1.0,1.0,1.0
BGP,gemma3_27b,13,6,6,0.462,1.0,0.632
BGP,mistral-small3.1_24b,10,6,6,0.6,1.0,0.75
BGP,qwen3.5_27b_no_think,9,6,6,0.667,1.0,0.8
BGP,qwen3.5_27b_think,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_no_think,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_think,6,6,6,1.0,1.0,1.0
BGP,qwq_32b,0,6,0,0.0,0.0,0.0
DCCP,gemma3_12b,14,9,9,0.643,1.0,0.783
DCCP,gemma3_27b,24,9,9,0.375,1.0,0.545
DCCP,mistral-small3.1_24b,23,9,9,0.391,1.0,0.562
DCCP,qwen3.5_27b_no_think,17,9,9,0.529,1.0,0.692
DCCP,qwen3.5_27b_think,12,9,9,0.75,1.0,0.857
DCCP,qwen3.5_9b_no_think,10,9,9,0.9,1.0,0.947
DCCP,qwen3.5_9b_think,12,9,9,0.75,1.0,0.857
DCCP,qwq_32b,0,9,0,0.0,0.0,0.0
DHCP,gemma3_12b,13,8,6,0.462,0.75,0.571
DHCP,gemma3_27b,5,8,5,1.0,0.625,0.769
DHCP,mistral-small3.1_24b,10,8,8,0.8,1.0,0.889
DHCP,qwen3.5_27b_no_think,9,8,8,0.889,1.0,0.941
DHCP,qwen3.5_27b_think,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_9b_no_think,7,8,7,1.0,0.875,0.933
DHCP,qwen3.5_9b_think,6,8,6,1.0,0.75,0.857
DHCP,qwq_32b,0,8,0,0.0,0.0,0.0
FTP,gemma3_12b,34,10,6,0.176,0.6,0.273
FTP,gemma3_27b,17,10,3,0.176,0.3,0.222
FTP,mistral-small3.1_24b,71,10,8,0.113,0.8,0.198
FTP,qwen3.5_27b_no_think,15,10,6,0.4,0.6,0.48
FTP,qwen3.5_27b_think,6,10,4,0.667,0.4,0.5
FTP,qwen3.5_9b_no_think,6,10,0,0.0,0.0,0.0
FTP,qwen3.5_9b_think,5,10,0,0.0,0.0,0.0
FTP,qwq_32b,0,10,0,0.0,0.0,0.0
IMAP,gemma3_12b,18,5,4,0.222,0.8,0.348
IMAP,gemma3_27b,15,5,3,0.2,0.6,0.3
IMAP,mistral-small3.1_24b,26,5,4,0.154,0.8,0.258
IMAP,qwen3.5_27b_no_think,8,5,4,0.5,0.8,0.615
IMAP,qwen3.5_27b_think,6,5,4,0.667,0.8,0.727
IMAP,qwen3.5_9b_no_think,4,5,3,0.75,0.6,0.667
IMAP,qwen3.5_9b_think,0,5,0,0.0,0.0,0.0
IMAP,qwq_32b,0,5,0,0.0,0.0,0.0
MQTT,gemma3_12b,13,12,6,0.462,0.5,0.48
MQTT,gemma3_27b,19,12,7,0.368,0.583,0.452
MQTT,mistral-small3.1_24b,39,12,11,0.282,0.917,0.431
MQTT,qwen3.5_27b_no_think,12,12,6,0.5,0.5,0.5
MQTT,qwen3.5_27b_think,5,12,4,0.8,0.333,0.471
MQTT,qwen3.5_9b_no_think,3,12,3,1.0,0.25,0.4
MQTT,qwen3.5_9b_think,5,12,4,0.8,0.333,0.471
MQTT,qwq_32b,7,12,6,0.857,0.5,0.632
