Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b,32,26,16,10,16,0.5,0.615,0.552
BGP,gemma3_27b,88,26,22,4,66,0.25,0.846,0.386
BGP,mistral-small3.1_24b,102,26,22,4,80,0.216,0.846,0.344
BGP,qwen3.5_27b_no_think,66,26,23,3,43,0.348,0.885,0.5
BGP,qwen3.5_27b_think,20,26,11,15,9,0.55,0.423,0.478
BGP,qwen3.5_9b_no_think,50,26,17,9,33,0.34,0.654,0.447
BGP,qwen3.5_9b_think,23,26,14,12,9,0.609,0.538,0.571
BGP,qwq_32b,0,26,0,26,0,0.0,0.0,0.0
DCCP,gemma3_12b,16,25,6,19,10,0.375,0.24,0.293
DCCP,gemma3_27b,54,25,7,18,47,0.13,0.28,0.177
DCCP,mistral-small3.1_24b,63,25,17,8,46,0.27,0.68,0.386
DCCP,qwen3.5_27b_no_think,36,25,10,15,26,0.278,0.4,0.328
DCCP,qwen3.5_27b_think,25,25,9,16,16,0.36,0.36,0.36
DCCP,qwen3.5_9b_no_think,16,25,8,17,8,0.5,0.32,0.39
DCCP,qwen3.5_9b_think,30,25,11,14,19,0.367,0.44,0.4
DCCP,qwq_32b,0,25,0,25,0,0.0,0.0,0.0
DHCP,gemma3_12b,24,19,7,12,17,0.292,0.368,0.326
DHCP,gemma3_27b,20,19,4,15,16,0.2,0.211,0.205
DHCP,mistral-small3.1_24b,26,19,13,6,13,0.5,0.684,0.578
DHCP,qwen3.5_27b_no_think,27,19,14,5,13,0.519,0.737,0.609
DHCP,qwen3.5_27b_think,15,19,12,7,3,0.8,0.632,0.706
DHCP,qwen3.5_9b_no_think,13,19,8,11,5,0.615,0.421,0.5
DHCP,qwen3.5_9b_think,17,19,9,10,8,0.529,0.474,0.5
DHCP,qwq_32b,0,19,0,19,0,0.0,0.0,0.0
FTP,gemma3_12b,51,24,3,21,48,0.059,0.125,0.08
FTP,gemma3_27b,54,24,3,21,51,0.056,0.125,0.077
FTP,mistral-small3.1_24b,386,24,9,15,377,0.023,0.375,0.044
FTP,qwen3.5_27b_no_think,34,24,3,21,31,0.088,0.125,0.103
FTP,qwen3.5_27b_think,13,24,2,22,11,0.154,0.083,0.108
FTP,qwen3.5_9b_no_think,7,24,0,24,7,0.0,0.0,0.0
FTP,qwen3.5_9b_think,6,24,0,24,6,0.0,0.0,0.0
FTP,qwq_32b,0,24,0,24,0,0.0,0.0,0.0
IMAP,gemma3_12b,48,11,3,8,45,0.062,0.273,0.102
IMAP,gemma3_27b,53,11,3,8,50,0.057,0.273,0.094
IMAP,mistral-small3.1_24b,145,11,6,5,139,0.041,0.545,0.077
IMAP,qwen3.5_27b_no_think,31,11,5,6,26,0.161,0.455,0.238
IMAP,qwen3.5_27b_think,13,11,4,7,9,0.308,0.364,0.333
IMAP,qwen3.5_9b_no_think,27,11,2,9,25,0.074,0.182,0.105
IMAP,qwen3.5_9b_think,0,11,0,11,0,0.0,0.0,0.0
IMAP,qwq_32b,0,11,0,11,0,0.0,0.0,0.0
MQTT,gemma3_12b,39,17,1,16,38,0.026,0.059,0.036
MQTT,gemma3_27b,53,17,3,14,50,0.057,0.176,0.086
MQTT,mistral-small3.1_24b,64,17,5,12,59,0.078,0.294,0.123
MQTT,qwen3.5_27b_no_think,24,17,2,15,22,0.083,0.118,0.098
MQTT,qwen3.5_27b_think,17,17,0,17,17,0.0,0.0,0.0
MQTT,qwen3.5_9b_no_think,5,17,1,16,4,0.2,0.059,0.091
MQTT,qwen3.5_9b_think,6,17,1,16,5,0.167,0.059,0.087
MQTT,qwq_32b,14,17,2,15,12,0.143,0.118,0.129
NNTP,gemma3_12b,52,16,1,15,51,0.019,0.062,0.029
NNTP,gemma3_27b,65,16,2,14,63,0.031,0.125,0.049
NNTP,mistral-small3.1_24b,128,16,2,14,126,0.016,0.125,0.028
NNTP,qwen3.5_27b_no_think,67,16,0,16,67,0.0,0.0,0.0
NNTP,qwen3.5_27b_think,0,16,0,16,0,0.0,0.0,0.0
NNTP,qwen3.5_9b_no_think,9,16,0,16,9,0.0,0.0,0.0
NNTP,qwen3.5_9b_think,5,16,0,16,5,0.0,0.0,0.0
NNTP,qwq_32b,14,16,2,14,12,0.143,0.125,0.133
POP3,gemma3_12b,18,18,7,11,11,0.389,0.389,0.389
POP3,gemma3_27b,28,18,4,14,24,0.143,0.222,0.174
POP3,mistral-small3.1_24b,31,18,6,12,25,0.194,0.333,0.245
POP3,qwen3.5_27b_no_think,19,18,8,10,11,0.421,0.444,0.432
POP3,qwen3.5_27b_think,17,18,7,11,10,0.412,0.389,0.4
POP3,qwen3.5_9b_no_think,15,18,9,9,6,0.6,0.5,0.545
POP3,qwen3.5_9b_think,0,18,0,18,0,0.0,0.0,0.0
POP3,qwq_32b,0,18,0,18,0,0.0,0.0,0.0
PPP,gemma3_12b,27,27,2,25,25,0.074,0.074,0.074
PPP,gemma3_27b,77,27,5,22,72,0.065,0.185,0.096
PPP,mistral-small3.1_24b,75,27,18,9,57,0.24,0.667,0.353
PPP,qwen3.5_27b_no_think,114,27,20,7,94,0.175,0.741,0.284
PPP,qwen3.5_27b_think,129,27,12,15,117,0.093,0.444,0.154
PPP,qwen3.5_9b_no_think,18,27,7,20,11,0.389,0.259,0.311
PPP,qwen3.5_9b_think,0,27,0,27,0,0.0,0.0,0.0
