Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
BGP,Claude3,8,6,6,0.75,1.0,0.857
BGP,DS-V3,6,6,6,1.0,1.0,1.0
BGP,DS-R1,6,6,6,1.0,1.0,1.0
BGP,Gemini2,9,6,6,0.667,1.0,0.8
BGP,Gemma3,7,6,5,0.714,0.833,0.769
BGP,Gpt4o-Mini,13,6,6,0.462,1.0,0.632
BGP,Mistral,10,6,3,0.3,0.5,0.375
BGP,QWen3,6,6,6,1.0,1.0,1.0
BGP,QWQ,6,6,6,1.0,1.0,1.0
DCCP,Claude3,12,9,9,0.75,1.0,0.857
DCCP,DS-V3,12,9,9,0.75,1.0,0.857
DCCP,DS-R1,12,9,9,0.75,1.0,0.857
DCCP,Gemini2,20,9,9,0.45,1.0,0.621
DCCP,Gemma3,10,9,6,0.6,0.667,0.632
DCCP,Gpt4o-Mini,41,9,9,0.22,1.0,0.36
DCCP,Mistral,10,9,2,0.2,0.222,0.211
DCCP,QWen3,11,9,8,0.727,0.889,0.8
DCCP,QWQ,4,9,3,0.75,0.333,0.462
DHCP,Claude3,8,8,8,1.0,1.0,1.0
DHCP,DS-V3,7,8,7,1.0,0.875,0.933
DHCP,DS-R1,8,8,8,1.0,1.0,1.0
DHCP,Gemini2,6,8,4,0.667,0.5,0.571
DHCP,Gemma3,4,8,4,1.0,0.5,0.667
DHCP,Gpt4o-Mini,11,8,8,0.727,1.0,0.842
DHCP,Mistral,3,8,3,1.0,0.375,0.545
DHCP,QWen3,4,8,4,1.0,0.5,0.667
DHCP,QWQ,4,8,4,1.0,0.5,0.667
FTP,Claude3,14,10,2,0.143,0.2,0.167
FTP,DS-V3,23,10,7,0.304,0.7,0.424
FTP,DS-R1,14,10,5,0.357,0.5,0.417
FTP,Gemini2,15,10,4,0.267,0.4,0.32
FTP,Gemma3,15,10,3,0.2,0.3,0.24
FTP,Gpt4o-Mini,41,10,6,0.146,0.6,0.235
FTP,Mistral,20,10,3,0.15,0.3,0.2
FTP,QWen3,11,10,2,0.182,0.2,0.19
FTP,QWQ,6,10,3,0.5,0.3,0.375
IMAP,Claude3,11,5,4,0.364,0.8,0.5
IMAP,DS-V3,4,5,4,1.0,0.8,0.889
IMAP,DS-R1,9,5,4,0.444,0.8,0.571
IMAP,Gemini2,12,5,4,0.333,0.8,0.471
IMAP,Gemma3,10,5,4,0.4,0.8,0.533
IMAP,Gpt4o-Mini,21,5,4,0.19,0.8,0.308
IMAP,Mistral,10,5,4,0.4,0.8,0.533
IMAP,QWen3,4,5,3,0.75,0.6,0.667
IMAP,QWQ,4,5,4,1.0,0.8,0.889
MQTT,Claude3,11,12,4,0.364,0.333,0.348
MQTT,DS-V3,4,12,4,1.0,0.333,0.5
MQTT,DS-R1,7,12,6,0.857,0.5,0.632
MQTT,Gemini2,26,12,7,0.269,0.583,0.368
MQTT,Gemma3,11,12,5,0.455,0.417,0.435
MQTT,Gpt4o-Mini,24,12,8,0.333,0.667,0.444
MQTT,Mistral,20,12,11,0.55,0.917,0.687
MQTT,QWen3,7,12,3,0.429,0.25,0.316
MQTT,QWQ,14,12,8,0.571,0.667,0.615
NNTP,Claude3,13,10,5,0.385,0.5,0.435
NNTP,DS-V3,17,10,7,0.412,0.7,0.519
NNTP,DS-R1,12,10,3,0.25,0.3,0.273
NNTP,Gemini2,29,10,6,0.207,0.6,0.308
NNTP,Gemma3,9,10,3,0.333,0.3,0.316
NNTP,Gpt4o-Mini,40,10,10,0.25,1.0,0.4
NNTP,Mistral,3,10,0,0.0,0.0,0.0
NNTP,QWen3,4,10,0,0.0,0.0,0.0
NNTP,QWQ,3,10,0,0.0,0.0,0.0
POP3,Claude3,5,3,3,0.6,1.0,0.75
POP3,DS-V3,5,3,3,0.6,1.0,0.75
POP3,DS-R1,4,3,3,0.75,1.0,0.857
POP3,Gemini2,4,3,3,0.75,1.0,0.857
POP3,Gemma3,17,3,3,0.176,1.0,0.3
POP3,Gpt4o-Mini,14,3,3,0.214,1.0,0.353
POP3,Mistral,12,3,3,0.25,1.0,0.4
POP3,QWen3,4,3,3,0.75,1.0,0.857
POP3,QWQ,4,3,1,0.25,0.333,0.286
PPP,Claude3,15,10,10,0.667,1.0,0.8
PPP,DS-V3,15,10,10,0.667,1.0,0.8
PPP,DS-R1,15,10,10,0.667,1.0,0.8
PPP,Gemini2,13,10,10,0.769,1.0,0.87
PPP,Gemma3,6,10,1,0.167,0.1,0.125
PPP,Gpt4o-Mini,19,10,10,0.526,1.0,0.69
PPP,Mistral,9,10,2,0.222,0.2,0.211
PPP,QWen3,11,10,3,0.273,0.3,0.286
PPP,QWQ,5,10,2,0.4,0.2,0.267
PPTP,Claude3,15,9,4,0.267,0.444,0.333
PPTP,DS-V3,12,9,7,0.583,0.778,0.667
PPTP,DS-R1,8,9,7,0.875,0.778,0.824
PPTP,Gemini2,11,9,0,0.0,0.0,0.0
PPTP,Gemma3,4,9,4,1.0,0.444,0.615
PPTP,Gpt4o-Mini,20,9,5,0.25,0.556,0.345
PPTP,Mistral,6,9,3,0.5,0.333,0.4
PPTP,QWen3,4,9,4,1.0,0.444,0.615
PPTP,QWQ,3,9,3,1.0,0.333,0.5
RTSP,Claude3,20,3,2,0.1,0.667,0.174
RTSP,DS-V3,3,3,3,1.0,1.0,1.0
RTSP,DS-R1,5,3,3,0.6,1.0,0.75
RTSP,Gemini2,17,3,2,0.118,0.667,0.2
RTSP,Gemma3,14,3,3,0.214,1.0,0.353
RTSP,Gpt4o-Mini,47,3,3,0.064,1.0,0.12
RTSP,Mistral,22,3,1,0.045,0.333,0.08
RTSP,QWen3,3,3,3,1.0,1.0,1.0
RTSP,QWQ,3,3,0,0.0,0.0,0.0
SIP,Claude3,0,5,0,0.0,0.0,0.0
SIP,DS-V3,12,5,5,0.417,1.0,0.588
SIP,DS-R1,25,5,5,0.2,1.0,0.333
SIP,Gemini2,65,5,5,0.077,1.0,0.143
SIP,Gemma3,27,5,2,0.074,0.4,0.125
SIP,Gpt4o-Mini,88,5,3,0.034,0.6,0.065
SIP,Mistral,32,5,1,0.031,0.2,0.054
SIP,QWen3,11,5,2,0.182,0.4,0.25
SIP,QWQ,7,5,0,0.0,0.0,0.0
SMTP,Claude3,10,7,2,0.2,0.286,0.235
SMTP,DS-V3,10,7,3,0.3,0.429,0.353
SMTP,DS-R1,10,7,2,0.2,0.286,0.235
SMTP,Gemini2,10,7,4,0.4,0.571,0.471
SMTP,Gemma3,7,7,0,0.0,0.0,0.0
SMTP,Gpt4o-Mini,41,7,4,0.098,0.571,0.167
SMTP,Mistral,38,7,3,0.079,0.429,0.133
SMTP,QWen3,8,7,2,0.25,0.286,0.267
SMTP,QWQ,7,7,1,0.143,0.143,0.143
TCP,Claude3,11,11,10,0.909,0.909,0.909
TCP,DS-V3,11,11,10,0.909,0.909,0.909
TCP,DS-R1,11,11,10,0.909,0.909,0.909
TCP,Gemini2,11,11,8,0.727,0.727,0.727
TCP,Gemma3,9,11,6,0.667,0.545,0.6
TCP,Gpt4o-Mini,11,11,10,0.909,0.909,0.909
TCP,Mistral,11,11,8,0.727,0.727,0.727
TCP,QWen3,9,11,8,0.889,0.727,0.8
TCP,QWQ,9,11,8,0.889,0.727,0.8
