Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,Claude3,60,26,21,5,39,0.35,0.808,0.488
BGP,DS-V3,32,26,14,12,18,0.438,0.538,0.483
BGP,DS-R1,20,26,14,12,6,0.7,0.538,0.609
BGP,Gemini2,101,26,25,1,76,0.248,0.962,0.394
BGP,Gemma3,21,26,5,21,16,0.238,0.192,0.213
BGP,Gpt4o-Mini,25,26,8,18,17,0.32,0.308,0.314
BGP,Mistral,9,26,0,26,9,0.0,0.0,0.0
BGP,QWen3,11,26,5,21,6,0.455,0.192,0.27
BGP,QWQ,7,26,2,24,5,0.286,0.077,0.121
DCCP,Claude3,40,25,15,10,25,0.375,0.6,0.462
DCCP,DS-V3,28,25,13,12,15,0.464,0.52,0.491
DCCP,DS-R1,29,25,11,14,18,0.379,0.44,0.407
DCCP,Gemini2,44,25,10,15,34,0.227,0.4,0.29
DCCP,Gemma3,18,25,4,21,14,0.222,0.16,0.186
DCCP,Gpt4o-Mini,55,25,4,21,51,0.073,0.16,0.1
DCCP,Mistral,9,25,0,25,9,0.0,0.0,0.0
DCCP,QWen3,15,25,5,20,10,0.333,0.2,0.25
DCCP,QWQ,4,25,1,24,3,0.25,0.04,0.069
DHCP,Claude3,18,19,14,5,4,0.778,0.737,0.757
DHCP,DS-V3,15,19,11,8,4,0.733,0.579,0.647
DHCP,DS-R1,20,19,13,6,7,0.65,0.684,0.667
DHCP,Gemini2,27,19,6,13,21,0.222,0.316,0.261
DHCP,Gemma3,10,19,0,19,10,0.0,0.0,0.0
DHCP,Gpt4o-Mini,26,19,9,10,17,0.346,0.474,0.4
DHCP,Mistral,5,19,2,17,3,0.4,0.105,0.167
DHCP,QWen3,4,19,0,19,4,0.0,0.0,0.0
DHCP,QWQ,6,19,4,15,2,0.667,0.211,0.32
FTP,Claude3,46,24,4,20,42,0.087,0.167,0.114
FTP,DS-V3,77,24,7,17,70,0.091,0.292,0.139
FTP,DS-R1,23,24,5,19,18,0.217,0.208,0.213
FTP,Gemini2,51,24,6,18,45,0.118,0.25,0.16
FTP,Gemma3,42,24,5,19,37,0.119,0.208,0.152
FTP,Gpt4o-Mini,53,24,3,21,50,0.057,0.125,0.078
FTP,Mistral,33,24,3,21,30,0.091,0.125,0.105
FTP,QWen3,14,24,1,23,13,0.071,0.042,0.053
FTP,QWQ,7,24,3,21,4,0.429,0.125,0.194
IMAP,Claude3,48,11,4,7,44,0.083,0.364,0.136
IMAP,DS-V3,16,11,6,5,10,0.375,0.545,0.444
IMAP,DS-R1,35,11,4,7,31,0.114,0.364,0.174
IMAP,Gemini2,90,11,6,5,84,0.067,0.545,0.119
IMAP,Gemma3,17,11,3,8,14,0.176,0.273,0.214
IMAP,Gpt4o-Mini,56,11,3,8,53,0.054,0.273,0.09
IMAP,Mistral,20,11,5,6,15,0.25,0.455,0.323
IMAP,QWen3,4,11,2,9,2,0.5,0.182,0.267
IMAP,QWQ,4,11,3,8,1,0.75,0.273,0.4
MQTT,Claude3,45,17,2,15,43,0.044,0.118,0.065
MQTT,DS-V3,6,17,1,16,5,0.167,0.059,0.087
MQTT,DS-R1,16,17,1,16,15,0.062,0.059,0.061
MQTT,Gemini2,48,17,2,15,46,0.042,0.118,0.062
MQTT,Gemma3,19,17,1,16,18,0.053,0.059,0.056
MQTT,Gpt4o-Mini,37,17,2,15,35,0.054,0.118,0.074
MQTT,Mistral,37,17,2,15,35,0.054,0.118,0.074
MQTT,QWen3,6,17,1,16,5,0.167,0.059,0.087
MQTT,QWQ,18,17,1,16,17,0.056,0.059,0.057
NNTP,Claude3,75,16,2,14,73,0.027,0.125,0.044
NNTP,DS-V3,25,16,1,15,24,0.04,0.062,0.049
NNTP,DS-R1,73,16,1,15,72,0.014,0.062,0.022
NNTP,Gemini2,116,16,2,14,114,0.017,0.125,0.03
NNTP,Gemma3,14,16,0,16,14,0.0,0.0,0.0
NNTP,Gpt4o-Mini,68,16,3,13,65,0.044,0.188,0.071
NNTP,Mistral,4,16,0,16,4,0.0,0.0,0.0
NNTP,QWen3,6,16,0,16,6,0.0,0.0,0.0
NNTP,QWQ,3,16,0,16,3,0.0,0.0,0.0
POP3,Claude3,26,18,8,10,18,0.308,0.444,0.364
POP3,DS-V3,20,18,9,9,11,0.45,0.5,0.474
POP3,DS-R1,21,18,8,10,13,0.381,0.444,0.41
POP3,Gemini2,39,18,10,8,29,0.256,0.556,0.351
POP3,Gemma3,38,18,6,12,32,0.158,0.333,0.214
POP3,Gpt4o-Mini,33,18,10,8,23,0.303,0.556,0.392
POP3,Mistral,29,18,9,9,20,0.31,0.5,0.383
POP3,QWen3,8,18,4,14,4,0.5,0.222,0.308
POP3,QWQ,5,18,1,17,4,0.2,0.056,0.087
PPP,Claude3,138,27,9,18,129,0.065,0.333,0.109
PPP,DS-V3,21,27,3,24,18,0.143,0.111,0.125
PPP,DS-R1,111,27,10,17,101,0.09,0.37,0.145
PPP,Gemini2,126,27,20,7,106,0.159,0.741,0.261
PPP,Gemma3,9,27,0,27,9,0.0,0.0,0.0
PPP,Gpt4o-Mini,33,27,4,23,29,0.121,0.148,0.133
PPP,Mistral,12,27,0,27,12,0.0,0.0,0.0
PPP,QWen3,21,27,1,26,20,0.048,0.037,0.042
PPP,QWQ,5,27,0,27,5,0.0,0.0,0.0
PPTP,Claude3,56,19,3,16,53,0.054,0.158,0.08
PPTP,DS-V3,34,19,12,7,22,0.353,0.632,0.453
PPTP,DS-R1,18,19,13,6,5,0.722,0.684,0.703
PPTP,Gemini2,23,19,0,19,23,0.0,0.0,0.0
PPTP,Gemma3,6,19,0,19,6,0.0,0.0,0.0
PPTP,Gpt4o-Mini,29,19,2,17,27,0.069,0.105,0.083
PPTP,Mistral,12,19,1,18,11,0.083,0.053,0.065
PPTP,QWen3,6,19,3,16,3,0.5,0.158,0.24
PPTP,QWQ,2,19,0,19,2,0.0,0.0,0.0
RTSP,Claude3,89,33,20,13,69,0.225,0.606,0.328
RTSP,DS-V3,39,33,32,1,7,0.821,0.97,0.889
RTSP,DS-R1,41,33,29,4,12,0.707,0.879,0.784
RTSP,Gemini2,78,33,13,20,65,0.167,0.394,0.234
RTSP,Gemma3,24,33,5,28,19,0.208,0.152,0.175
RTSP,Gpt4o-Mini,70,33,2,31,68,0.029,0.061,0.039
RTSP,Mistral,33,33,0,33,33,0.0,0.0,0.0
RTSP,QWen3,10,33,8,25,2,0.8,0.242,0.372
RTSP,QWQ,2,33,0,33,2,0.0,0.0,0.0
SIP,Claude3,0,20,0,20,0,0.0,0.0,0.0
SIP,DS-V3,43,20,13,7,30,0.302,0.65,0.413
SIP,DS-R1,58,20,12,8,46,0.207,0.6,0.308
SIP,Gemini2,180,20,18,2,162,0.1,0.9,0.18
SIP,Gemma3,47,20,2,18,45,0.043,0.1,0.06
SIP,Gpt4o-Mini,127,20,9,11,118,0.071,0.45,0.122
SIP,Mistral,30,20,0,20,30,0.0,0.0,0.0
SIP,QWen3,11,20,3,17,8,0.273,0.15,0.194
SIP,QWQ,5,20,0,20,5,0.0,0.0,0.0
SMTP,Claude3,40,22,0,22,40,0.0,0.0,0.0
SMTP,DS-V3,18,22,1,21,17,0.056,0.045,0.05
SMTP,DS-R1,45,22,0,22,45,0.0,0.0,0.0
SMTP,Gemini2,32,22,1,21,31,0.031,0.045,0.037
SMTP,Gemma3,6,22,0,22,6,0.0,0.0,0.0
SMTP,Gpt4o-Mini,52,22,0,22,52,0.0,0.0,0.0
SMTP,Mistral,35,22,0,22,35,0.0,0.0,0.0
SMTP,QWen3,7,22,0,22,7,0.0,0.0,0.0
SMTP,QWQ,11,22,0,22,11,0.0,0.0,0.0
TCP,Claude3,20,20,12,8,8,0.6,0.6,0.6
TCP,DS-V3,12,20,7,13,5,0.583,0.35,0.438
TCP,DS-R1,15,20,9,11,6,0.6,0.45,0.514
TCP,Gemini2,45,20,1,19,44,0.022,0.05,0.031
