Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
IMAP,DS-R1,35,11,6,5,29,0.171,0.545,0.261
IMAP,Gpt4o-Mini,56,11,5,6,51,0.089,0.455,0.149
IMAP,Claude3,48,11,7,4,41,0.146,0.636,0.237
IMAP,Gemini2,90,11,7,4,83,0.078,0.636,0.139
IMAP,DS-V3,16,11,6,5,10,0.375,0.545,0.444
IMAP,QWQ,4,11,3,8,1,0.75,0.273,0.4
IMAP,QWen3,4,11,2,9,2,0.5,0.182,0.267
IMAP,Gemma3,17,11,5,6,12,0.294,0.455,0.357
IMAP,Mistral,20,11,6,5,14,0.3,0.545,0.387
POP3,DS-R1,21,18,12,6,9,0.571,0.667,0.615
POP3,Gpt4o-Mini,33,18,12,6,21,0.364,0.667,0.471
POP3,Claude3,26,18,9,9,17,0.346,0.5,0.409
POP3,Gemini2,39,18,13,5,26,0.333,0.722,0.456
POP3,DS-V3,20,18,10,8,10,0.5,0.556,0.526
POP3,QWQ,5,18,1,17,4,0.2,0.056,0.087
POP3,QWen3,8,18,4,14,4,0.5,0.222,0.308
POP3,Gemma3,38,18,10,8,28,0.263,0.556,0.357
POP3,Mistral,29,18,9,9,20,0.31,0.5,0.383
MQTT,DS-R1,16,17,2,15,14,0.125,0.118,0.121
MQTT,Gpt4o-Mini,37,17,3,14,34,0.081,0.176,0.111
MQTT,Claude3,45,17,2,15,43,0.044,0.118,0.065
MQTT,Gemini2,48,17,2,15,46,0.042,0.118,0.062
MQTT,DS-V3,6,17,0,17,6,0.0,0.0,0.0
MQTT,QWQ,18,17,1,16,17,0.056,0.059,0.057
MQTT,QWen3,6,17,1,16,5,0.167,0.059,0.087
MQTT,Gemma3,19,17,1,16,18,0.053,0.059,0.056
MQTT,Mistral,37,17,3,14,34,0.081,0.176,0.111
PPP,DS-R1,111,27,10,17,101,0.09,0.37,0.145
PPP,Gpt4o-Mini,33,27,5,22,28,0.152,0.185,0.167
PPP,Claude3,138,27,18,9,120,0.13,0.667,0.218
PPP,Gemini2,126,27,20,7,106,0.159,0.741,0.261
PPP,DS-V3,21,27,3,24,18,0.143,0.111,0.125
PPP,QWQ,5,27,0,27,5,0.0,0.0,0.0
PPP,QWen3,21,27,1,26,20,0.048,0.037,0.042
PPP,Gemma3,9,27,0,27,9,0.0,0.0,0.0
PPP,Mistral,12,27,0,27,12,0.0,0.0,0.0
PPTP,DS-R1,18,19,12,7,6,0.667,0.632,0.649
PPTP,Gpt4o-Mini,29,19,1,18,28,0.034,0.053,0.042
PPTP,Claude3,56,19,4,15,52,0.071,0.211,0.107
PPTP,Gemini2,23,19,0,19,23,0.0,0.0,0.0
PPTP,DS-V3,34,19,11,8,23,0.324,0.579,0.415
PPTP,QWQ,2,19,0,19,2,0.0,0.0,0.0
PPTP,QWen3,6,19,4,15,2,0.667,0.211,0.32
PPTP,Gemma3,6,19,2,17,4,0.333,0.105,0.16
PPTP,Mistral,12,19,1,18,11,0.083,0.053,0.065
BGP,DS-R1,20,26,14,12,6,0.7,0.538,0.609
BGP,Gpt4o-Mini,25,26,7,19,18,0.28,0.269,0.275
BGP,Claude3,60,26,23,3,37,0.383,0.885,0.535
BGP,Gemini2,101,26,26,0,75,0.257,1.0,0.409
BGP,DS-V3,32,26,15,11,17,0.469,0.577,0.517
BGP,QWQ,7,26,3,23,4,0.429,0.115,0.182
BGP,QWen3,11,26,4,22,7,0.364,0.154,0.216
BGP,Gemma3,21,26,3,23,18,0.143,0.115,0.128
BGP,Mistral,9,26,0,26,9,0.0,0.0,0.0
SIP,DS-R1,58,20,12,8,46,0.207,0.6,0.308
SIP,Gpt4o-Mini,127,20,10,10,117,0.079,0.5,0.136
SIP,Claude3,164,20,2,18,162,0.012,0.1,0.022
SIP,Gemini2,180,20,20,0,160,0.111,1.0,0.2
SIP,DS-V3,43,20,14,6,29,0.326,0.7,0.444
SIP,QWQ,5,20,0,20,5,0.0,0.0,0.0
SIP,QWen3,11,20,3,17,8,0.273,0.15,0.194
SIP,Gemma3,47,20,2,18,45,0.043,0.1,0.06
SIP,Mistral,30,20,0,20,30,0.0,0.0,0.0
RTSP,DS-R1,41,33,19,14,22,0.463,0.576,0.514
RTSP,Gpt4o-Mini,70,33,0,33,70,0.0,0.0,0.0
RTSP,Claude3,89,33,19,14,70,0.213,0.576,0.311
RTSP,Gemini2,78,33,12,21,66,0.154,0.364,0.216
RTSP,DS-V3,39,33,30,3,9,0.769,0.909,0.833
RTSP,QWQ,2,33,0,33,2,0.0,0.0,0.0
RTSP,QWen3,10,33,6,27,4,0.6,0.182,0.279
RTSP,Gemma3,24,33,4,29,20,0.167,0.121,0.14
RTSP,Mistral,33,33,0,33,33,0.0,0.0,0.0
DCCP,DS-R1,29,25,18,7,11,0.621,0.72,0.667
DCCP,Gpt4o-Mini,55,25,8,17,47,0.145,0.32,0.2
DCCP,Claude3,40,25,19,6,21,0.475,0.76,0.585
DCCP,Gemini2,44,25,16,9,28,0.364,0.64,0.464
DCCP,DS-V3,28,25,14,11,14,0.5,0.56,0.528
DCCP,QWQ,4,25,1,24,3,0.25,0.04,0.069
DCCP,QWen3,15,25,5,20,10,0.333,0.2,0.25
DCCP,Gemma3,18,25,6,19,12,0.333,0.24,0.279
DCCP,Mistral,9,25,0,25,9,0.0,0.0,0.0
DHCP,DS-R1,20,19,12,7,8,0.6,0.632,0.615
DHCP,Gpt4o-Mini,26,19,9,10,17,0.346,0.474,0.4
DHCP,Claude3,18,19,14,5,4,0.778,0.737,0.757
DHCP,Gemini2,27,19,7,12,20,0.259,0.368,0.304
DHCP,DS-V3,15,19,10,9,5,0.667,0.526,0.588
DHCP,QWQ,6,19,4,15,2,0.667,0.211,0.32
DHCP,QWen3,4,19,2,17,2,0.5,0.105,0.174
DHCP,Gemma3,10,19,2,17,8,0.2,0.105,0.138
DHCP,Mistral,5,19,2,17,3,0.4,0.105,0.167
FTP,DS-R1,23,24,5,19,18,0.217,0.208,0.213
FTP,Gpt4o-Mini,53,24,4,20,49,0.075,0.167,0.104
FTP,Claude3,46,24,4,20,42,0.087,0.167,0.114
FTP,Gemini2,51,24,6,18,45,0.118,0.25,0.16
FTP,DS-V3,77,24,7,17,70,0.091,0.292,0.139
FTP,QWQ,7,24,3,21,4,0.429,0.125,0.194
FTP,QWen3,14,24,1,23,13,0.071,0.042,0.053
FTP,Gemma3,42,24,5,19,37,0.119,0.208,0.152
FTP,Mistral,33,24,3,21,30,0.091,0.125,0.105
NNTP,DS-R1,73,16,2,14,71,0.027,0.125,0.045
NNTP,Gpt4o-Mini,68,16,0,16,68,0.0,0.0,0.0
NNTP,Claude3,75,16,0,16,75,0.0,0.0,0.0
NNTP,Gemini2,116,16,2,14,114,0.017,0.125,0.03
NNTP,DS-V3,25,16,2,14,23,0.08,0.125,0.098
NNTP,QWQ,3,16,0,16,3,0.0,0.0,0.0
NNTP,QWen3,6,16,0,16,6,0.0,0.0,0.0
NNTP,Gemma3,14,16,0,16,14,0.0,0.0,0.0
NNTP,Mistral,4,16,0,16,4,0.0,0.0,0.0
SMTP,DS-R1,45,22,0,22,45,0.0,0.0,0.0
SMTP,Gpt4o-Mini,52,22,0,22,52,0.0,0.0,0.0
SMTP,Claude3,40,22,0,22,40,0.0,0.0,0.0
SMTP,Gemini2,32,22,2,20,30,0.062,0.091,0.074
SMTP,DS-V3,18,22,1,21,17,0.056,0.045,0.05
SMTP,QWQ,11,22,0,22,11,0.0,0.0,0.0
SMTP,QWen3,7,22,0,22,7,0.0,0.0,0.0
SMTP,Gemma3,6,22,0,22,6,0.0,0.0,0.0
SMTP,Mistral,35,22,0,22,35,0.0,0.0,0.0
TCP,DS-R1,15,20,11,9,4,0.733,0.55,0.629
TCP,Gpt4o-Mini,10,20,4,16,6,0.4,0.2,0.267
TCP,Claude3,20,20,13,7,7,0.65,0.65,0.65
TCP,Gemini2,45,20,5,15,40,0.111,0.25,0.154
TCP,DS-V3,12,20,7,13,5,0.583,0.35,0.438
TCP,QWQ,9,20,5,15,4,0.556,0.25,0.345
TCP,QWen3,9,20,5,15,4,0.556,0.25,0.345
TCP,Gemma3,14,20,4,16,10,0.286,0.2,0.235
TCP,Mistral,11,20,2,18,9,0.182,0.1,0.129
