Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,11,6,6,0.545,1.0,0.706
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,11,6,6,0.545,1.0,0.706
BGP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,5,6,1,0.2,0.167,0.182
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,15,6,6,0.4,1.0,0.571
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,15,6,6,0.4,1.0,0.571
BGP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,10,6,6,0.6,1.0,0.75
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,11,6,6,0.545,1.0,0.706
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,11,6,6,0.545,1.0,0.706
BGP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,14,6,6,0.429,1.0,0.6
BGP,qwen3.5_27b_qwen_no_think_ollama_json_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_27b_qwen_no_think_tagged_json_output,8,6,6,0.75,1.0,0.857
BGP,qwen3.5_9b_qwen_no_think_ollama_json_output,0,6,0,0.0,0.0,0.0
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_qwen_no_think_tagged_json_output,0,6,0,0.0,0.0,0.0
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,16,9,9,0.562,1.0,0.72
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,16,9,9,0.562,1.0,0.72
DCCP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,15,9,0,0.0,0.0,0.0
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,29,9,9,0.31,1.0,0.474
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,29,9,9,0.31,1.0,0.474
DCCP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,29,9,9,0.31,1.0,0.474
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,26,9,9,0.346,1.0,0.514
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,26,9,9,0.346,1.0,0.514
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,26,9,9,0.346,1.0,0.514
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_output,0,9,0,0.0,0.0,0.0
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,16,9,9,0.562,1.0,0.72
DCCP,qwen3.5_27b_qwen_no_think_tagged_json_output,0,9,0,0.0,0.0,0.0
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_output,12,9,9,0.75,1.0,0.857
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,12,9,9,0.75,1.0,0.857
DCCP,qwen3.5_9b_qwen_no_think_tagged_json_output,12,9,9,0.75,1.0,0.857
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,9,8,7,0.778,0.875,0.824
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,9,8,7,0.778,0.875,0.824
DHCP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,0,8,0,0.0,0.0,0.0
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,7,8,6,0.857,0.75,0.8
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,7,8,6,0.857,0.75,0.8
DHCP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,7,8,6,0.857,0.75,0.8
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,10,8,8,0.8,1.0,0.889
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,10,8,8,0.8,1.0,0.889
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,10,8,8,0.8,1.0,0.889
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_output,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_27b_qwen_no_think_tagged_json_output,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_output,8,8,7,0.875,0.875,0.875
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,8,8,7,0.875,0.875,0.875
DHCP,qwen3.5_9b_qwen_no_think_tagged_json_output,8,8,8,1.0,1.0,1.0
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,22,10,6,0.273,0.6,0.375
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,22,10,6,0.273,0.6,0.375
