Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,25,26,15,11,10,0.6,0.577,0.588
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,25,26,15,11,10,0.6,0.577,0.588
BGP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,2,26,0,26,2,0.0,0.0,0.0
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,77,26,24,2,53,0.312,0.923,0.466
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,77,26,24,2,53,0.312,0.923,0.466
BGP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,74,26,25,1,49,0.338,0.962,0.5
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,81,26,24,2,57,0.296,0.923,0.449
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,81,26,24,2,57,0.296,0.923,0.449
BGP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,88,26,24,2,64,0.273,0.923,0.421
BGP,qwen3.5_27b_qwen_no_think_ollama_json_output,67,26,24,2,43,0.358,0.923,0.516
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,67,26,24,2,43,0.358,0.923,0.516
BGP,qwen3.5_27b_qwen_no_think_tagged_json_output,65,26,23,3,42,0.354,0.885,0.505
BGP,qwen3.5_9b_qwen_no_think_ollama_json_output,0,26,0,26,0,0.0,0.0,0.0
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,96,26,24,2,72,0.25,0.923,0.393
BGP,qwen3.5_9b_qwen_no_think_tagged_json_output,0,26,0,26,0,0.0,0.0,0.0
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,30,25,12,13,18,0.4,0.48,0.436
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,30,25,12,13,18,0.4,0.48,0.436
DCCP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,4,25,0,25,4,0.0,0.0,0.0
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,77,25,12,13,65,0.156,0.48,0.235
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,77,25,12,13,65,0.156,0.48,0.235
DCCP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,68,25,10,15,58,0.147,0.4,0.215
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,56,25,12,13,44,0.214,0.48,0.296
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,56,25,12,13,44,0.214,0.48,0.296
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,58,25,11,14,47,0.19,0.44,0.265
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_output,0,25,0,25,0,0.0,0.0,0.0
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,37,25,13,12,24,0.351,0.52,0.419
DCCP,qwen3.5_27b_qwen_no_think_tagged_json_output,0,25,0,25,0,0.0,0.0,0.0
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_output,34,25,9,16,25,0.265,0.36,0.305
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,34,25,9,16,25,0.265,0.36,0.305
DCCP,qwen3.5_9b_qwen_no_think_tagged_json_output,34,25,8,17,26,0.235,0.32,0.271
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,31,19,10,9,21,0.323,0.526,0.4
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,31,19,10,9,21,0.323,0.526,0.4
DHCP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,0,19,0,19,0,0.0,0.0,0.0
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,25,19,8,11,17,0.32,0.421,0.364
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,25,19,8,11,17,0.32,0.421,0.364
DHCP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,25,19,8,11,17,0.32,0.421,0.364
