Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,25,26,15,11,10,0.6,0.577,0.588
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,24,26,15,11,9,0.625,0.577,0.6
BGP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,65,26,17,9,48,0.262,0.654,0.374
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_output,77,26,24,2,53,0.312,0.923,0.466
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,77,26,24,2,53,0.312,0.923,0.466
BGP,gemma3_27b_gemma_mistral_no_think_tagged_json_output,74,26,25,1,49,0.338,0.962,0.5
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_output,81,26,24,2,57,0.296,0.923,0.449
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,79,26,24,2,55,0.304,0.923,0.457
BGP,mistral-small3.1_24b_gemma_mistral_no_think_tagged_json_output,88,26,25,1,63,0.284,0.962,0.439
BGP,qwen3.5_27b_qwen_no_think_ollama_json_output,67,26,25,1,42,0.373,0.962,0.538
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,67,26,25,1,42,0.373,0.962,0.538
BGP,qwen3.5_27b_qwen_no_think_tagged_json_output,65,26,24,2,41,0.369,0.923,0.527
BGP,qwen3.5_9b_qwen_no_think_ollama_json_output,0,26,0,26,0,0.0,0.0,0.0
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,85,26,26,0,59,0.306,1.0,0.468
BGP,qwen3.5_9b_qwen_no_think_tagged_json_output,0,26,0,26,0,0.0,0.0,0.0
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_output,30,25,15,10,15,0.5,0.6,0.545
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,23,25,7,18,16,0.304,0.28,0.292
DCCP,gemma3_12b_gemma_mistral_no_think_tagged_json_output,46,25,13,12,33,0.283,0.52,0.366
