Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,31,26,20,6,11,0.645,0.769,0.702
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,160,26,25,1,135,0.156,0.962,0.269
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,6,26,1,25,5,0.167,0.038,0.062
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,70,26,24,2,46,0.343,0.923,0.5
BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,74,26,23,3,51,0.311,0.885,0.46
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,74,26,22,4,52,0.297,0.846,0.44
BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,64,26,23,3,41,0.359,0.885,0.511
BGP,qwq_32b_qwq_reasoning_ollama_json_schema_output,58,26,24,2,34,0.414,0.923,0.571
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,56,25,11,14,45,0.196,0.44,0.272
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,66,25,8,17,58,0.121,0.32,0.176
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,89,25,19,6,70,0.213,0.76,0.333
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,75,25,17,8,58,0.227,0.68,0.34
DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,53,25,9,16,44,0.17,0.36,0.231
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,57,25,14,11,43,0.246,0.56,0.341
DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,44,25,13,12,31,0.295,0.52,0.377
DCCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,63,25,16,9,47,0.254,0.64,0.364
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,13,19,6,13,7,0.462,0.316,0.375
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,34,19,13,6,21,0.382,0.684,0.491
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,24,19,11,8,13,0.458,0.579,0.512
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,29,19,16,3,13,0.552,0.842,0.667
DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,18,19,15,4,3,0.833,0.789,0.811
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,14,19,10,9,4,0.714,0.526,0.606
DHCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,0,19,0,19,0,0.0,0.0,0.0
DHCP,qwq_32b_qwq_reasoning_ollama_json_schema_output,31,19,13,6,18,0.419,0.684,0.52
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,66,24,1,23,65,0.015,0.042,0.022
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,150,24,0,24,150,0.0,0.0,0.0
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,191,24,2,22,189,0.01,0.083,0.019
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,19,24,0,24,19,0.0,0.0,0.0
