Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,19,6,6,0.316,1.0,0.48
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,18,6,6,0.333,1.0,0.5
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,13,6,6,0.462,1.0,0.632
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,32,9,9,0.281,1.0,0.439
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,34,9,9,0.265,1.0,0.419
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,28,9,9,0.321,1.0,0.486
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,26,9,9,0.346,1.0,0.514
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,12,9,9,0.75,1.0,0.857
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,8,8,7,0.875,0.875,0.875
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,9,8,8,0.889,1.0,0.941
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,9,8,8,0.889,1.0,0.941
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,7,8,7,1.0,0.875,0.933
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,50,10,7,0.14,0.7,0.233
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,31,10,5,0.161,0.5,0.244
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,38,10,8,0.211,0.8,0.333
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,21,10,6,0.286,0.6,0.387
FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,5,10,0,0.0,0.0,0.0
IMAP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,45,5,5,0.111,1.0,0.2
IMAP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,15,5,4,0.267,0.8,0.4
IMAP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,23,5,4,0.174,0.8,0.286
IMAP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,13,5,5,0.385,1.0,0.556
