Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,26,26,9,17,17,0.346,0.346,0.346
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,79,26,23,3,56,0.291,0.885,0.438
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,96,26,26,0,70,0.271,1.0,0.426
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,156,26,26,0,130,0.167,1.0,0.286
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,73,26,23,3,50,0.315,0.885,0.465
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,66,25,18,7,48,0.273,0.72,0.396
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,92,25,15,10,77,0.163,0.6,0.256
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,100,25,21,4,79,0.21,0.84,0.336
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,101,25,21,4,80,0.208,0.84,0.333
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,61,25,19,6,42,0.311,0.76,0.442
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,23,19,9,10,14,0.391,0.474,0.429
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,39,19,13,6,26,0.333,0.684,0.448
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,46,19,16,3,30,0.348,0.842,0.492
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,43,19,16,3,27,0.372,0.842,0.516
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,15,19,8,11,7,0.533,0.421,0.471
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,108,24,2,22,106,0.019,0.083,0.03
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,118,24,1,23,117,0.008,0.042,0.014
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,194,24,3,21,191,0.015,0.125,0.028
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,18,24,0,24,18,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,13,24,0,24,13,0.0,0.0,0.0
IMAP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,87,11,6,5,81,0.069,0.545,0.122
IMAP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,115,11,6,5,109,0.052,0.545,0.095
IMAP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,105,11,6,5,99,0.057,0.545,0.103
IMAP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,51,11,7,4,44,0.137,0.636,0.226
IMAP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,84,11,7,4,77,0.083,0.636,0.147
MQTT,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,61,17,2,15,59,0.033,0.118,0.051
