Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,26,26,10,16,16,0.385,0.385,0.385
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,79,26,22,4,57,0.278,0.846,0.419
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,96,26,24,2,72,0.25,0.923,0.393
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,156,26,24,2,132,0.154,0.923,0.264
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,73,26,22,4,51,0.301,0.846,0.444
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,66,25,12,13,54,0.182,0.48,0.264
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,92,25,11,14,81,0.12,0.44,0.188
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,100,25,21,4,79,0.21,0.84,0.336
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,101,25,19,6,82,0.188,0.76,0.302
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,61,25,16,9,45,0.262,0.64,0.372
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,23,19,9,10,14,0.391,0.474,0.429
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,39,19,13,6,26,0.333,0.684,0.448
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,46,19,15,4,31,0.326,0.789,0.462
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,43,19,18,1,25,0.419,0.947,0.581
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,15,19,9,10,6,0.6,0.474,0.529
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,108,24,1,23,107,0.009,0.042,0.015
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,118,24,0,24,118,0.0,0.0,0.0
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,194,24,3,21,191,0.015,0.125,0.028
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,18,24,0,24,18,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,13,24,0,24,13,0.0,0.0,0.0
IMAP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,87,11,6,5,81,0.069,0.545,0.122
IMAP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,115,11,6,5,109,0.052,0.545,0.095
IMAP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,105,11,7,4,98,0.067,0.636,0.121
IMAP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,51,11,8,3,43,0.157,0.727,0.258
IMAP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,84,11,6,5,78,0.071,0.545,0.126
MQTT,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,61,17,0,17,61,0.0,0.0,0.0
MQTT,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,60,17,5,12,55,0.083,0.294,0.13
