Protocol,Model,Total Extracted,Total GT,Matched,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,6,6,6,1.0,1.0,1.0
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,9,9,9,1.0,1.0,1.0
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,9,9,9,1.0,1.0,1.0
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,9,9,9,1.0,1.0,1.0
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,9,9,9,1.0,1.0,1.0
DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,9,9,9,1.0,1.0,1.0
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,9,9,9,1.0,1.0,1.0
DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,9,9,9,1.0,1.0,1.0
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,5,8,5,1.0,0.625,0.769
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,6,8,6,1.0,0.75,0.857
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,7,8,7,1.0,0.875,0.933
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,8,8,8,1.0,1.0,1.0
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,7,8,7,1.0,0.875,0.933
