Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,15,26,10,16,5,0.667,0.385,0.488
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,26,26,16,10,10,0.615,0.615,0.615
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,90,26,24,2,66,0.267,0.923,0.414
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,64,26,25,1,39,0.391,0.962,0.556
BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,66,26,25,1,41,0.379,0.962,0.543
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,71,26,25,1,46,0.352,0.962,0.515
BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,50,26,24,2,26,0.48,0.923,0.632
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,9,25,5,20,4,0.556,0.2,0.294
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,10,25,7,18,3,0.7,0.28,0.4
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,18,25,9,16,9,0.5,0.36,0.419
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,11,25,10,15,1,0.909,0.4,0.556
DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,16,25,9,16,7,0.562,0.36,0.439
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,14,25,9,16,5,0.643,0.36,0.462
DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,12,25,7,18,5,0.583,0.28,0.378
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,9,19,8,11,1,0.889,0.421,0.571
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,10,19,6,13,4,0.6,0.316,0.414
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,13,19,11,8,2,0.846,0.579,0.688
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,17,19,13,6,4,0.765,0.684,0.722
DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,13,19,12,7,1,0.923,0.632,0.75
