Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,15,26,7,19,8,0.467,0.269,0.341
BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,26,26,16,10,10,0.615,0.615,0.615
BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,90,26,25,1,65,0.278,0.962,0.431
BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,64,26,24,2,40,0.375,0.923,0.533
BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,66,26,24,2,42,0.364,0.923,0.522
BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,71,26,25,1,46,0.352,0.962,0.515
BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,50,26,22,4,28,0.44,0.846,0.579
DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,9,25,4,21,5,0.444,0.16,0.235
DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,10,25,6,19,4,0.6,0.24,0.343
DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,18,25,4,21,14,0.222,0.16,0.186
DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,11,25,8,17,3,0.727,0.32,0.444
DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,16,25,9,16,7,0.562,0.36,0.439
DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,14,25,4,21,10,0.286,0.16,0.205
DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,12,25,4,21,8,0.333,0.16,0.216
DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,9,19,8,11,1,0.889,0.421,0.571
DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,10,19,6,13,4,0.6,0.316,0.414
DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,13,19,11,8,2,0.846,0.579,0.688
DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,17,19,15,4,2,0.882,0.789,0.833
DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,13,19,11,8,2,0.846,0.579,0.688
DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,12,19,9,10,3,0.75,0.474,0.581
DHCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,11,19,9,10,2,0.818,0.474,0.6
FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,0,24,0,24,0,0.0,0.0,0.0
FTP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,27,24,1,23,26,0.037,0.042,0.039
FTP,qwen3.5_27b_qwen_think_ollama_json_schema_output,13,24,0,24,13,0.0,0.0,0.0
FTP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,28,24,0,24,28,0.0,0.0,0.0
