Data Source,Output Control,Model,Total Protocols,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
Prompt Experiment Results 1,Normal JSON,gemma3_12b,14,0.369,0.770,0.463,0.178,0.244,0.191,0.204,0.289,0.221
Prompt Experiment Results 1,Normal JSON,gemma3_27b,14,0.339,0.713,0.426,0.120,0.316,0.165,0.142,0.375,0.196
Prompt Experiment Results 1,Normal JSON,mistral-small3.1_24b,14,0.399,0.923,0.516,0.154,0.424,0.210,0.179,0.491,0.244
Prompt Experiment Results 1,Normal JSON,qwen3.5_9b_no_think,14,0.334,0.389,0.351,0.111,0.166,0.129,0.130,0.189,0.150
Prompt Experiment Results 1,Normal JSON,qwen3.5_27b_no_think,14,0.441,0.625,0.484,0.261,0.409,0.299,0.273,0.456,0.316
Prompt Experiment Results 1,JSON Schema,gemma3_12b,14,0.374,0.841,0.473,0.201,0.279,0.220,0.227,0.324,0.250
Prompt Experiment Results 1,JSON Schema,gemma3_27b,14,0.348,0.785,0.441,0.144,0.370,0.198,0.164,0.425,0.226
Prompt Experiment Results 1,JSON Schema,mistral-small3.1_24b,14,0.392,0.923,0.509,0.154,0.424,0.210,0.178,0.491,0.243
Prompt Experiment Results 1,JSON Schema,qwen3.5_9b_no_think,14,0.619,0.714,0.641,0.209,0.307,0.235,0.271,0.369,0.296
Prompt Experiment Results 1,JSON Schema,qwen3.5_27b_no_think,14,0.563,0.817,0.629,0.273,0.468,0.328,0.312,0.544,0.373
Prompt Experiment Results 1,Tagged JSON,gemma3_12b,14,0.096,0.174,0.099,0.012,0.020,0.015,0.022,0.040,0.028
Prompt Experiment Results 1,Tagged JSON,gemma3_27b,14,0.372,0.601,0.438,0.119,0.262,0.157,0.134,0.299,0.178
Prompt Experiment Results 1,Tagged JSON,mistral-small3.1_24b,14,0.373,0.908,0.483,0.152,0.411,0.203,0.163,0.457,0.222
Prompt Experiment Results 1,Tagged JSON,qwen3.5_9b_no_think,14,0.311,0.343,0.321,0.104,0.156,0.124,0.121,0.190,0.146
Prompt Experiment Results 1,Tagged JSON,qwen3.5_27b_no_think,14,0.316,0.418,0.341,0.180,0.300,0.210,0.192,0.345,0.226
Prompt Experiment Results 2,Normal JSON,gemma3_12b,14,0.369,0.770,0.463,0.178,0.244,0.191,0.204,0.289,0.221
Prompt Experiment Results 2,Normal JSON,gemma3_27b,14,0.339,0.713,0.426,0.120,0.316,0.165,0.142,0.375,0.196
Prompt Experiment Results 2,Normal JSON,mistral-small3.1_24b,14,0.399,0.923,0.516,0.154,0.424,0.210,0.179,0.491,0.244
Prompt Experiment Results 2,Normal JSON,qwen3.5_9b_no_think,14,0.334,0.389,0.351,0.111,0.166,0.129,0.130,0.189,0.150
Prompt Experiment Results 2,Normal JSON,qwen3.5_27b_no_think,14,0.441,0.625,0.484,0.261,0.409,0.299,0.273,0.456,0.316
Prompt Experiment Results 2,JSON Schema,gemma3_12b,14,0.375,0.817,0.448,0.186,0.249,0.198,0.204,0.286,0.221
Prompt Experiment Results 2,JSON Schema,gemma3_27b,14,0.348,0.785,0.441,0.144,0.370,0.198,0.164,0.425,0.226
Prompt Experiment Results 2,JSON Schema,mistral-small3.1_24b,14,0.384,0.923,0.501,0.155,0.424,0.211,0.179,0.491,0.244
Prompt Experiment Results 2,JSON Schema,qwen3.5_9b_no_think,14,0.640,0.714,0.655,0.240,0.303,0.249,0.278,0.346,0.288
Prompt Experiment Results 2,JSON Schema,qwen3.5_27b_no_think,14,0.569,0.817,0.624,0.280,0.471,0.332,0.315,0.543,0.373
Prompt Experiment Results 2,Tagged JSON,gemma3_12b,14,0.136,0.655,0.215,0.089,0.179,0.111,0.136,0.250,0.163
Prompt Experiment Results 2,Tagged JSON,gemma3_27b,14,0.372,0.601,0.438,0.119,0.262,0.157,0.134,0.299,0.178
Prompt Experiment Results 2,Tagged JSON,mistral-small3.1_24b,14,0.373,0.908,0.483,0.152,0.411,0.203,0.163,0.457,0.222
Prompt Experiment Results 2,Tagged JSON,qwen3.5_9b_no_think,14,0.311,0.343,0.321,0.104,0.156,0.124,0.121,0.190,0.146
Prompt Experiment Results 2,Tagged JSON,qwen3.5_27b_no_think,14,0.316,0.418,0.341,0.180,0.300,0.210,0.192,0.345,0.226
