Data Source,Model,Total Protocols,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
PSMBench Saved FSMs,Claude3,14,0.464,0.653,0.526,0.214,0.361,0.253,0.24,0.426,0.288
PSMBench Saved FSMs,DS-R1,14,0.633,0.791,0.676,0.346,0.413,0.358,0.377,0.455,0.392
PSMBench Saved FSMs,DS-V3,14,0.71,0.823,0.728,0.358,0.418,0.37,0.354,0.425,0.373
PSMBench Saved FSMs,Gemini2,14,0.407,0.703,0.481,0.12,0.386,0.172,0.147,0.45,0.209
PSMBench Saved FSMs,Gemma3,14,0.429,0.522,0.408,0.102,0.116,0.103,0.16,0.162,0.147
PSMBench Saved FSMs,Gpt4o-Mini,14,0.316,0.836,0.419,0.139,0.226,0.154,0.146,0.248,0.166
PSMBench Saved FSMs,Mistral,14,0.318,0.453,0.325,0.098,0.104,0.089,0.103,0.115,0.096
PSMBench Saved FSMs,QWQ,14,0.536,0.381,0.429,0.212,0.071,0.104,0.238,0.081,0.118
PSMBench Saved FSMs,QWen3,14,0.602,0.543,0.551,0.292,0.12,0.169,0.327,0.128,0.181
Local Ollama,gemma3_12b,14,0.466,0.801,0.538,0.192,0.224,0.191,0.21,0.254,0.211
Local Ollama,gemma3_27b,14,0.365,0.734,0.442,0.111,0.228,0.139,0.133,0.274,0.167
Local Ollama,mistral-small3.1_24b,14,0.322,0.767,0.409,0.134,0.377,0.185,0.143,0.402,0.198
Local Ollama,qwen3.5_27b_no_think,14,0.469,0.733,0.544,0.206,0.397,0.25,0.238,0.454,0.287
Local Ollama,qwen3.5_9b_no_think,14,0.737,0.696,0.69,0.328,0.278,0.284,0.347,0.304,0.305
