Split Method,Protocol,Model,Common Condition,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
Whole Document,BGP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.467,0.269,0.341,0.667,0.385,0.488
Whole Document,BGP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.615,0.615,0.615,0.615,0.615,0.615
Whole Document,BGP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.278,0.962,0.431,0.267,0.923,0.414
Whole Document,BGP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.375,0.923,0.533,0.391,0.962,0.556
Whole Document,BGP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.364,0.923,0.522,0.379,0.962,0.543
Whole Document,BGP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.352,0.962,0.515,0.352,0.962,0.515
Whole Document,BGP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.44,0.846,0.579,0.48,0.923,0.632
Whole Document,DCCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.444,0.16,0.235,0.556,0.2,0.294
Whole Document,DCCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.6,0.24,0.343,0.7,0.28,0.4
Whole Document,DCCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.222,0.16,0.186,0.5,0.36,0.419
Whole Document,DCCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.727,0.32,0.444,0.909,0.4,0.556
Whole Document,DCCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.562,0.36,0.439,0.562,0.36,0.439
Whole Document,DCCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.286,0.16,0.205,0.643,0.36,0.462
Whole Document,DCCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.333,0.16,0.216,0.583,0.28,0.378
Whole Document,DHCP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,0.625,0.769,0.889,0.421,0.571,0.889,0.421,0.571
Whole Document,DHCP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,0.75,0.857,0.6,0.316,0.414,0.6,0.316,0.414
Whole Document,DHCP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,1.0,0.875,0.933,0.846,0.579,0.688,0.846,0.579,0.688
Whole Document,DHCP,qwen3.5_27b_qwen_no_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.882,0.789,0.833,0.765,0.684,0.722
Whole Document,DHCP,qwen3.5_27b_qwen_think_ollama_json_schema_output,Yes,1.0,1.0,1.0,0.846,0.579,0.688,0.923,0.632,0.75
Whole Document,DHCP,qwen3.5_9b_qwen_no_think_ollama_json_schema_output,Yes,1.0,0.875,0.933,0.75,0.474,0.581,0.75,0.474,0.581
Whole Document,DHCP,qwen3.5_9b_qwen_think_ollama_json_schema_output,Yes,1.0,0.875,0.933,0.818,0.474,0.6,0.636,0.368,0.467
Whole Document,FTP,gemma3_12b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,FTP,gemma3_27b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whole Document,FTP,mistral-small3.1_24b_gemma_mistral_no_think_ollama_json_schema_output,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
