Data Source,Split Method,Model,Total Protocols,State Precision,State Recall,State F1,Exact Transition Precision,Exact Transition Recall,Exact Transition F1,Partial Transition Precision,Partial Transition Recall,Partial Transition F1
Prompt Experiment Results 1,PSMBench Original Segments,gemma3_12b_no_think,14,0.374,0.841,0.473,0.2,0.279,0.219,0.227,0.324,0.25
Prompt Experiment Results 1,PSMBench Original Segments,gemma3_27b_no_think,14,0.348,0.785,0.441,0.144,0.37,0.198,0.164,0.425,0.226
Prompt Experiment Results 1,PSMBench Original Segments,mistral-small3.1_24b_no_think,14,0.392,0.923,0.509,0.154,0.424,0.21,0.178,0.491,0.243
Prompt Experiment Results 1,PSMBench Original Segments,qwen3.5_27b_no_think,14,0.563,0.817,0.629,0.273,0.468,0.328,0.312,0.544,0.373
Prompt Experiment Results 1,PSMBench Original Segments,qwen3.5_9b_no_think,14,0.619,0.714,0.641,0.209,0.307,0.235,0.271,0.369,0.296
Split Experiment Results,Whole Document,gemma3_12b_no_think,12,0.729,0.663,0.656,0.239,0.14,0.173,0.391,0.203,0.258
Split Experiment Results,Whole Document,gemma3_27b_no_think,12,0.788,0.668,0.703,0.273,0.183,0.213,0.358,0.246,0.284
Split Experiment Results,Whole Document,mistral-small3.1_24b_no_think,12,0.657,0.652,0.648,0.228,0.268,0.226,0.301,0.329,0.279
Split Experiment Results,Whole Document,qwen3.5_27b_no_think,14,0.843,0.742,0.754,0.441,0.433,0.399,0.447,0.466,0.407
Split Experiment Results,Whole Document,qwen3.5_27b_think,14,0.756,0.719,0.724,0.392,0.351,0.321,0.39,0.413,0.351
Split Experiment Results,Whole Document,qwen3.5_9b_no_think,14,0.804,0.671,0.708,0.306,0.295,0.281,0.389,0.347,0.335
Split Experiment Results,Whole Document,qwen3.5_9b_think,14,0.608,0.604,0.605,0.28,0.288,0.272,0.347,0.337,0.312
Split Experiment Results,Fixed Token Splitting,gemma3_12b_no_think,14,0.614,0.794,0.619,0.21,0.229,0.215,0.302,0.275,0.27
Split Experiment Results,Fixed Token Splitting,gemma3_27b_no_think,14,0.46,0.853,0.556,0.158,0.381,0.211,0.191,0.456,0.252
Split Experiment Results,Fixed Token Splitting,mistral-small3.1_24b_no_think,14,0.466,0.876,0.565,0.172,0.406,0.221,0.202,0.48,0.258
Split Experiment Results,Fixed Token Splitting,qwen3.5_27b_no_think,14,0.562,0.813,0.621,0.245,0.446,0.286,0.267,0.487,0.306
Split Experiment Results,Fixed Token Splitting,qwen3.5_27b_think,14,0.659,0.808,0.685,0.268,0.43,0.285,0.278,0.467,0.298
Split Experiment Results,Fixed Token Splitting,qwen3.5_9b_no_think,14,0.725,0.718,0.696,0.204,0.356,0.24,0.239,0.407,0.273
Split Experiment Results,Fixed Token Splitting,qwen3.5_9b_think,14,0.612,0.598,0.578,0.202,0.24,0.174,0.203,0.313,0.212
Split Experiment Results,Fixed Token Splitting,qwq_32b_think,14,0.635,0.673,0.618,0.24,0.373,0.266,0.308,0.438,0.327
Split Experiment Results,Recursive Section Splitting,gemma3_12b_no_think,14,0.273,0.754,0.364,0.159,0.221,0.174,0.177,0.262,0.199
Split Experiment Results,Recursive Section Splitting,gemma3_27b_no_think,14,0.346,0.867,0.457,0.127,0.393,0.182,0.145,0.443,0.209
Split Experiment Results,Recursive Section Splitting,mistral-small3.1_24b_no_think,14,0.316,0.946,0.431,0.122,0.401,0.164,0.134,0.473,0.192
Split Experiment Results,Recursive Section Splitting,qwen3.5_27b_no_think,14,0.47,0.816,0.563,0.215,0.488,0.276,0.245,0.56,0.312
Split Experiment Results,Recursive Section Splitting,qwen3.5_27b_think,14,0.607,0.783,0.634,0.223,0.442,0.276,0.242,0.496,0.3
Split Experiment Results,Recursive Section Splitting,qwen3.5_9b_no_think,14,0.643,0.714,0.654,0.207,0.361,0.241,0.246,0.411,0.283
Split Experiment Results,Recursive Section Splitting,qwen3.5_9b_think,14,0.482,0.637,0.529,0.168,0.325,0.218,0.235,0.383,0.266
Split Experiment Results,Recursive Section Splitting,qwq_32b_think,14,0.513,0.781,0.562,0.17,0.375,0.219,0.199,0.433,0.256
